date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-09-24,66.0856,67.7148,65.7791,67.3469,10302612,10302612,0.674433,1.012,66.7857,"Sep 24, 15",-0.2600445202318743
2015-09-25,68.2053,68.4593,67.3732,68.0564,10862600,10862600,0.709466,1.053,67.9652,"Sep 25, 15",-0.25224908476423613
2015-09-28,67.1454,67.3819,66.3484,66.3659,10567039,10567039,-1.6905,-2.484,66.7312,"Sep 28, 15",-0.2708229870306807
2015-09-29,66.6024,67.1454,65.9323,66.7863,8797768,8797768,0.420425,0.633,66.5583,"Sep 29, 15",-0.2662039580375939
2015-09-30,67.5746,69.2125,67.4432,69.0899,14108838,14108838,2.3036,3.449,68.7043,"Sep 30, 15",-0.2408937887024967
2015-10-01,69.8256,70.8504,68.1527,68.6169,11111852,11111852,-0.472978,-0.685,69.0329,"Oct 1, 15",-0.24609074568092215
2015-10-02,68.0914,71.4285,67.7148,71.4285,13051868,13051868,2.8116,4.098,70.2631,"Oct 2, 15",-0.21519906652544415
2015-10-05,72.1818,73.7409,72.1292,73.6007,14196767,14196767,2.1722,3.041,73.1011,"Oct 5, 15",-0.19133261843128802
2015-10-06,73.7321,76.7539,73.6358,76.1933,18897094,18897094,2.5926,3.523,75.8388,"Oct 6, 15",-0.16284714134404515
2015-10-07,77.297,78.4006,75.5715,77.1831,17694437,17694437,0.989751,1.299,76.9526,"Oct 7, 15",-0.15197198697354714
2015-10-08,76.9816,78.948,76.9028,78.7509,11299052,11299052,1.5678,2.031,78.0094,"Oct 8, 15",-0.1347462170987575
2015-10-09,79.0049,79.1801,77.6673,78.4531,10011072,10011072,-0.2978,-0.378,78.3232,"Oct 9, 15",-0.13801821242259488
2015-10-12,78.7071,78.8122,76.9604,77.7261,7917484,7917484,-0.726985,-0.927,77.539,"Oct 12, 15",-0.14600592431121084
2015-10-13,76.9028,77.9013,76.4561,77.4108,8012541,8012541,-0.315319,-0.406,77.4687,"Oct 13, 15",-0.14947019605602604
2015-10-14,77.2794,78.8035,76.824,78.6195,9734525,9734525,1.2087,1.561,78.2147,"Oct 14, 15",-0.13618993833969853
2015-10-15,78.5232,79.5918,77.4634,79.4604,8960365,8960365,0.840852,1.07,78.7248,"Oct 15, 15",-0.1269507816311192
2015-10-16,80.1874,80.2837,78.8474,79.9596,7821198,7821198,0.499254,0.628,79.5986,"Oct 16, 15",-0.12146595938243011
2015-10-19,79.1451,79.3026,78.1466,78.856,8900398,8900398,-1.1036,-1.38,78.5592,"Oct 19, 15",-0.13359145985048584
2015-10-20,78.3918,79.2589,78.2955,78.821,8221081,8221081,-0.035033,-0.044,78.7778,"Oct 20, 15",-0.1339760126924412
2015-10-21,78.3393,79.3816,78.0765,78.2429,7431113,7431113,-0.578086,-0.733,78.6035,"Oct 21, 15",-0.1403277269191383
2015-10-22,78.602,80.4151,78.602,80.2487,8971668,8971668,2.0058,2.564,79.8725,"Oct 22, 15",-0.11828955290787867
2015-10-23,79.4867,80.5202,78.9086,79.9159,8134783,8134783,-0.332835,-0.415,79.7019,"Oct 23, 15",-0.12194610107367154
2015-10-26,79.5918,79.6005,77.586,77.7524,8606586,8606586,-2.1634,-2.707,78.1349,"Oct 26, 15",-0.14571696031854162
2015-10-27,76.8415,77.0429,75.9744,76.8152,9328837,9328837,-0.937197,-1.205,76.5119,"Oct 27, 15",-0.15601418670370082
2015-10-28,77.2619,78.9349,77.0079,78.6458,8236499,8236499,1.8306,2.383,78.3449,"Oct 28, 15",-0.13590097434702927
